accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1908-09-17,17:18:00,MILITARY - U.S. ARMY,Wright Flyer III,1,2,1,1,1,1,0,0,1,Militar,U.S.A.
1909-09-07,00:00:00,NO DATA,Wright Byplane,No Data,1,0,1,1,0,0,0,0,No militar,France
1912-07-12,06:30:00,MILITARY - U.S. NAVY,Dirigible,No Data,5,0,5,5,0,5,0,0,Militar,U.S.A.
1913-08-06,00:00:00,PRIVATE,Curtiss seaplane,No Data,1,0,1,1,0,1,0,0,No militar,Canada
1913-09-09,18:30:00,MILITARY - GERMAN NAVY,Zeppelin L-1 (airship),No Data,20,-1,-1,14,-1,-1,0,6,Militar,Ocean
1913-10-17,10:30:00,MILITARY - GERMAN NAVY,Zeppelin L-2 (airship),No Data,28,-1,-1,28,-1,-1,0,0,Militar,Germany
1915-03-05,01:00:00,MILITARY - GERMAN NAVY,Zeppelin L-8 (airship),No Data,41,0,41,17,0,17,0,24,Militar,Belgium
1915-09-03,15:20:00,MILITARY - GERMAN NAVY,Zeppelin L-10 (airship),No Data,19,-1,-1,19,-1,-1,0,0,Militar,Germany
1916-07-28,00:00:00,MILITARY - GERMAN ARMY,Schutte-Lanz S-L-10 (airship),No Data,20,-1,-1,20,-1,-1,0,0,Militar,Ocean
1916-09-24,01:00:00,MILITARY - GERMAN NAVY,Zeppelin L-32 (airship),No Data,22,-1,-1,22,-1,-1,0,0,Militar,Ocean
1916-10-01,23:45:00,MILITARY - GERMAN NAVY,Zeppelin L-31 (airship),No Data,19,0,19,19,0,19,0,0,Militar,Ocean
1916-11-21,00:00:00,MILITARY - GERMAN ARMY,Super Zeppelin (airship),No Data,28,-1,-1,27,-1,-1,0,1,Militar,Germany
1916-11-28,23:45:00,MILITARY - GERMAN NAVY,Zeppelin L-34 (airship),No Data,20,-1,-1,20,-1,-1,0,0,Militar,Ocean
1917-03-04,00:00:00,MILITARY - GERMAN ARMY,Airship,No Data,20,-1,-1,20,-1,-1,0,0,Militar,Belgium
1917-03-30,00:00:00,MILITARY - GERMAN NAVY,Schutte-Lanz S-L-9 (airship),No Data,23,-1,-1,23,-1,-1,0,0,Militar,Germany
1917-05-14,05:15:00,MILITARY - GERMAN NAVY,Zeppelin L-22 (airship),No Data,21,-1,-1,21,-1,-1,0,0,Militar,Ocean
1917-06-14,08:45:00,MILITARY - GERMAN NAVY,Zeppelin L-43 (airship),No Data,24,-1,-1,24,-1,-1,0,0,Militar,Ocean
1917-06-17,00:00:00,NO DATA,Zepplin L-48 (air ship),No Data,16,-1,-1,14,-1,-1,0,2,No militar,Ocean
1917-08-21,07:00:00,MILITARY - GERMAN NAVY,Zeppelin L-23 (airship),No Data,18,-1,-1,18,-1,-1,0,0,Militar,Denmark
1917-10-20,07:45:00,MILITARY - GERMAN NAVY,Zeppelin L-44 (airship),No Data,18,-1,-1,18,-1,-1,0,0,Militar,France
1918-04-07,21:30:00,MILITARY - GERMAN NAVY,Zeppelin L-59 (airship),No Data,23,-1,-1,23,-1,-1,0,0,Militar,Ocean
1918-08-05,00:00:00,MILITARY - GERMAN NAVY,Zeppelin L-70 (airship),No Data,22,-1,-1,22,-1,-1,0,0,Militar,Germany
1918-08-11,10:00:00,MILITARY - GERMAN NAVY,Zeppelin L-53 (airship),No Data,19,-1,-1,19,-1,-1,0,0,Militar,Ocean
1918-12-16,00:00:00,US AERIAL MAIL SERVICE,De Havilland DH-4,No Data,1,0,1,1,0,1,0,0,No militar,U.S.A.
