,total
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,57192900.0
1971,57492000.0
1972,48265300.0
1973,59114800.0
1974,64818500.0
1975,65489300.0
1976,68056000.0
1977,69969700.0
1978,71855500.0
1979,75525600.0
1980,76463500.0
1981,74023100.0
1982,75034200.0
1983,78430300.0
1984,83083900.0
1985,86163700.0
1986,90925100.0
1987,95016700.0
1988,99240000.0
1989,100167600.0
1990,104027400.0
1991,102678100.0
1992,110519800.0
1993,122294200.0
1994,130656400.0
1995,135843400.0
1996,142697000.0
1997,147880000.0
1998,148861300.0
1999,156376200.006836
2000,164128538.0
2001,167789495.0
2002,157413426.0
2003,160242603.0
2004,178801875.0
2005,183455221.0
2006,190035821.0
2007,200714410.0
2008,198155561.0
2009,203710520.0
2010,239598771.84102088
2011,249546273.23857105
2012,254041216.75431418
2013,262114913.74168143
2014,271503494.809754
2015,281621424.0
2016,293562879.0
2017,303214231.798
2018,315097216.94327354
2019,321029779.5881554
2020,170015097.22460002
2021,201445505.88299996
